price,price_date,asin,currency,price_type
10.99,01/19/2021,B08FMQHVV6,$,amazon
10.99,01/20/2021,B08FMQHVV6,$,amazon
10.99,01/21/2021,B08FMQHVV6,$,amazon
8.99,01/22/2021,B08FMQHVV6,$,amazon
8.99,01/23/2021,B08FMQHVV6,$,amazon
8.99,01/24/2021,B08FMQHVV6,$,amazon
8.99,01/25/2021,B08FMQHVV6,$,amazon
8.99,01/26/2021,B08FMQHVV6,$,amazon
8.99,01/27/2021,B08FMQHVV6,$,amazon
8.99,01/28/2021,B08FMQHVV6,$,amazon
8.99,01/29/2021,B08FMQHVV6,$,amazon
8.99,01/30/2021,B08FMQHVV6,$,amazon
8.99,01/31/2021,B08FMQHVV6,$,amazon
8.99,02/01/2021,B08FMQHVV6,$,amazon
8.99,02/02/2021,B08FMQHVV6,$,amazon
8.99,02/03/2021,B08FMQHVV6,$,amazon
8.99,02/04/2021,B08FMQHVV6,$,amazon
8.99,02/05/2021,B08FMQHVV6,$,amazon
8.99,02/06/2021,B08FMQHVV6,$,amazon
8.99,02/07/2021,B08FMQHVV6,$,amazon
8.99,02/08/2021,B08FMQHVV6,$,amazon
8.99,02/09/2021,B08FMQHVV6,$,amazon
8.99,02/10/2021,B08FMQHVV6,$,amazon
8.99,02/11/2021,B08FMQHVV6,$,amazon
8.99,02/12/2021,B08FMQHVV6,$,amazon
8.99,02/13/2021,B08FMQHVV6,$,amazon
8.99,02/14/2021,B08FMQHVV6,$,amazon
8.99,02/15/2021,B08FMQHVV6,$,amazon
8.99,02/16/2021,B08FMQHVV6,$,amazon
8.99,02/17/2021,B08FMQHVV6,$,amazon
8.99,02/18/2021,B08FMQHVV6,$,amazon
8.99,02/19/2021,B08FMQHVV6,$,amazon
8.99,02/20/2021,B08FMQHVV6,$,amazon
8.99,02/21/2021,B08FMQHVV6,$,amazon
8.99,02/22/2021,B08FMQHVV6,$,amazon
8.99,02/23/2021,B08FMQHVV6,$,amazon
8.99,02/24/2021,B08FMQHVV6,$,amazon
8.99,02/25/2021,B08FMQHVV6,$,amazon
8.99,02/26/2021,B08FMQHVV6,$,amazon
8.99,02/27/2021,B08FMQHVV6,$,amazon
8.99,02/28/2021,B08FMQHVV6,$,amazon
8.99,03/01/2021,B08FMQHVV6,$,amazon
8.99,03/02/2021,B08FMQHVV6,$,amazon
8.99,03/03/2021,B08FMQHVV6,$,amazon
8.99,03/04/2021,B08FMQHVV6,$,amazon
8.99,03/05/2021,B08FMQHVV6,$,amazon
8.99,03/06/2021,B08FMQHVV6,$,amazon
8.99,03/07/2021,B08FMQHVV6,$,amazon
8.99,03/08/2021,B08FMQHVV6,$,amazon
8.99,03/09/2021,B08FMQHVV6,$,amazon
8.99,03/10/2021,B08FMQHVV6,$,amazon
8.99,03/11/2021,B08FMQHVV6,$,amazon
8.99,03/12/2021,B08FMQHVV6,$,amazon
8.99,03/13/2021,B08FMQHVV6,$,amazon
8.99,03/14/2021,B08FMQHVV6,$,amazon
8.99,03/15/2021,B08FMQHVV6,$,amazon
8.99,03/16/2021,B08FMQHVV6,$,amazon
8.99,03/17/2021,B08FMQHVV6,$,amazon
8.99,03/18/2021,B08FMQHVV6,$,amazon
8.99,03/19/2021,B08FMQHVV6,$,amazon
8.99,03/20/2021,B08FMQHVV6,$,amazon
8.99,03/21/2021,B08FMQHVV6,$,amazon
8.99,03/22/2021,B08FMQHVV6,$,amazon
8.99,03/23/2021,B08FMQHVV6,$,amazon
8.99,03/24/2021,B08FMQHVV6,$,amazon
8.99,03/25/2021,B08FMQHVV6,$,amazon
8.99,03/26/2021,B08FMQHVV6,$,amazon
8.99,03/27/2021,B08FMQHVV6,$,amazon
8.99,03/28/2021,B08FMQHVV6,$,amazon
8.99,03/29/2021,B08FMQHVV6,$,amazon
8.36,03/23/2020,B07MHXLHLD,$,amazon
9.29,03/24/2020,B07MHXLHLD,$,amazon
9.41,03/25/2020,B07MHXLHLD,$,amazon
8.58,03/26/2020,B07MHXLHLD,$,amazon
8.78,03/27/2020,B07MHXLHLD,$,amazon
8.78,03/28/2020,B07MHXLHLD,$,amazon
8.78,03/29/2020,B07MHXLHLD,$,amazon
8.74,03/30/2020,B07MHXLHLD,$,amazon
8.78,03/31/2020,B07MHXLHLD,$,amazon
8.78,04/01/2020,B07MHXLHLD,$,amazon
9.99,04/02/2020,B07MHXLHLD,$,amazon
9.95,04/03/2020,B07MHXLHLD,$,amazon
9.95,04/04/2020,B07MHXLHLD,$,amazon
9.99,04/05/2020,B07MHXLHLD,$,amazon
8.74,04/06/2020,B07MHXLHLD,$,amazon
8.78,04/07/2020,B07MHXLHLD,$,amazon
8.78,04/08/2020,B07MHXLHLD,$,amazon
8.78,04/09/2020,B07MHXLHLD,$,amazon
8.75,04/10/2020,B07MHXLHLD,$,amazon
8.64,04/11/2020,B07MHXLHLD,$,amazon
8.66,04/12/2020,B07MHXLHLD,$,amazon
8.5,04/13/2020,B07MHXLHLD,$,amazon
8.5,04/14/2020,B07MHXLHLD,$,amazon
8.5,04/15/2020,B07MHXLHLD,$,amazon
8.5,04/16/2020,B07MHXLHLD,$,amazon
8.5,04/17/2020,B07MHXLHLD,$,amazon
8.5,04/18/2020,B07MHXLHLD,$,amazon
8.48,04/19/2020,B07MHXLHLD,$,amazon
8.47,04/20/2020,B07MHXLHLD,$,amazon
8.47,04/21/2020,B07MHXLHLD,$,amazon
8.47,04/22/2020,B07MHXLHLD,$,amazon
8.47,04/23/2020,B07MHXLHLD,$,amazon
8.47,04/24/2020,B07MHXLHLD,$,amazon
9.99,04/25/2020,B07MHXLHLD,$,amazon
9.99,04/26/2020,B07MHXLHLD,$,amazon
9.99,04/27/2020,B07MHXLHLD,$,amazon
9.36,04/28/2020,B07MHXLHLD,$,amazon
9.99,04/29/2020,B07MHXLHLD,$,amazon
8.69,04/30/2020,B07MHXLHLD,$,amazon
8.78,05/01/2020,B07MHXLHLD,$,amazon
9.28,05/02/2020,B07MHXLHLD,$,amazon
8.98,05/03/2020,B07MHXLHLD,$,amazon
8.78,05/04/2020,B07MHXLHLD,$,amazon
9.89,05/05/2020,B07MHXLHLD,$,amazon
9.44,05/06/2020,B07MHXLHLD,$,amazon
9.78,05/07/2020,B07MHXLHLD,$,amazon
9.68,05/08/2020,B07MHXLHLD,$,amazon
9.1,05/09/2020,B07MHXLHLD,$,amazon
8.98,05/10/2020,B07MHXLHLD,$,amazon
9.99,05/11/2020,B07MHXLHLD,$,amazon
9.99,05/12/2020,B07MHXLHLD,$,amazon
9.99,05/13/2020,B07MHXLHLD,$,amazon
